,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
606,Mahindra Scorpio S4,2015,600000,60000,Diesel,Individual,Manual,First Owner
607,Mahindra Quanto C8,2013,300000,25000,Diesel,Individual,Manual,Second Owner
608,Maruti Swift 1.3,2015,475000,24600,Petrol,Dealer,Manual,First Owner
609,Maruti Wagon R,2011,260000,28481,Petrol,Dealer,Manual,First Owner
610,Ford Ecosport 1.0,2013,350000,100000,Petrol,Individual,Manual,First Owner
611,Mahindra XUV500 W8,2013,750000,41988,Diesel,Dealer,Manual,First Owner
612,Maruti Wagon R,2009,180000,30375,Petrol,Dealer,Manual,First Owner
613,Renault KWID Climber,2017,350000,7658,Petrol,Dealer,Automatic,First Owner
614,Maruti Swift Dzire,2017,611000,34400,Diesel,Dealer,Manual,First Owner
615,Renault KWID RXL,2017,325000,18500,Petrol,Dealer,Manual,First Owner
616,Hyundai EON 1.0,2012,225000,48000,Petrol,Dealer,Manual,First Owner
617,Maruti Wagon R,2014,300000,28942,Petrol,Dealer,Automatic,First Owner
618,Mahindra Bolero Power,2017,400000,50000,Diesel,Individual,Manual,Second Owner
619,Mahindra XUV500 W8,2012,711000,53600,Diesel,Dealer,Manual,First Owner
620,Toyota Innova 2.5,2015,851000,53652,Diesel,Dealer,Manual,First Owner
621,Maruti Ertiga VXI,2014,500000,25000,Petrol,Individual,Manual,First Owner
622,Toyota Innova 2.5,2007,250000,80000,Diesel,Individual,Manual,Second Owner
623,Maruti Alto 800,2017,150000,50000,Petrol,Individual,Manual,First Owner
624,Mahindra Scorpio 1.99,2016,610000,15000,Diesel,Individual,Manual,Second Owner
625,Mahindra KUV 100,2018,450000,5000,Petrol,Individual,Manual,First Owner
626,Hyundai i20 1.4,2017,744000,106000,Diesel,Individual,Manual,First Owner
627,Chevrolet Spark 1.0,2008,120000,100000,Petrol,Individual,Manual,Third Owner
628,Renault KWID RXL,2016,220000,60000,Petrol,Individual,Manual,Third Owner
629,Maruti Ertiga ZDI,2012,480000,120000,Diesel,Individual,Manual,Fourth & Above Owner
630,Maruti Celerio ZXI,2017,370000,82000,Petrol,Individual,Automatic,First Owner
631,Hyundai Verna 1.6,2011,260000,125000,Diesel,Individual,Manual,Third Owner
632,Fiat Linea Classic,2015,350000,130000,Diesel,Individual,Manual,First Owner
633,Maruti Alto 800,2012,170000,97000,CNG,Individual,Manual,Second Owner
634,Hyundai Grand i10,2015,350000,90000,Petrol,Individual,Manual,Second Owner
635,Maruti Swift Dzire,2009,250000,60000,Petrol,Individual,Manual,Third Owner
636,Tata Indigo CR4,2013,170000,60000,Diesel,Individual,Manual,First Owner
637,Hyundai Grand i10,2019,550000,25000,Petrol,Individual,Manual,First Owner
638,Honda Brio 1.2,2017,400000,15000,Petrol,Individual,Manual,First Owner
639,Tata Nano Lx,2011,120000,20000,Petrol,Individual,Manual,First Owner
640,Ford Figo Petrol,2010,275000,70000,Petrol,Individual,Manual,First Owner
641,Tata Zest Revotron,2016,285000,90000,Petrol,Individual,Manual,First Owner
642,Hyundai Creta 1.4,2016,900000,80000,Diesel,Individual,Manual,First Owner
643,Hyundai Verna 1.6,2013,620000,70000,Diesel,Individual,Manual,Second Owner
644,Ford Figo Aspire,2018,650000,15000,Petrol,Individual,Manual,First Owner
645,Maruti Ertiga VXI,2014,500000,35000,Petrol,Individual,Manual,First Owner
646,Tata New Safari,2009,250000,120000,Diesel,Individual,Manual,Second Owner
647,Mahindra Marazzo M4,2018,950000,15000,Diesel,Individual,Manual,Second Owner
648,Toyota Etios Cross,2015,320000,60000,Petrol,Individual,Manual,First Owner
649,Renault Duster 110PS,2013,450000,120000,Diesel,Individual,Manual,First Owner
650,Mahindra KUV 100,2016,350000,90000,Diesel,Individual,Manual,First Owner
651,Maruti Swift Dzire,2015,400000,90000,Petrol,Individual,Manual,First Owner
652,Hyundai i20 Asta,2009,250000,72000,Diesel,Individual,Manual,Second Owner
653,Hyundai Verna 1.6,2011,450000,60000,Petrol,Individual,Automatic,Third Owner
654,Maruti Swift Dzire,2018,615000,40000,Petrol,Individual,Manual,First Owner
655,Maruti SX4 ZDI,2012,400000,60000,Diesel,Individual,Manual,Second Owner
656,Tata Nano LX,2013,60000,40000,Petrol,Individual,Manual,First Owner
657,Maruti Ignis 1.2,2017,500000,9161,Petrol,Individual,Manual,First Owner
658,Honda Mobilio V,2015,600000,45000,Petrol,Individual,Manual,First Owner
659,Hyundai Getz 1.3,2010,110000,110000,Petrol,Individual,Manual,First Owner
660,Hyundai Santro Xing,2013,175000,80000,Petrol,Individual,Manual,First Owner
661,Ford Fiesta Titanium,2011,325000,100000,Diesel,Individual,Manual,Second Owner
662,Maruti Swift Dzire,2017,425000,90000,Diesel,Individual,Manual,First Owner
663,Hyundai Accent GLE,2009,160000,70000,CNG,Individual,Manual,Third Owner
664,Maruti Zen Estilo,2007,100000,80000,Petrol,Individual,Manual,Third Owner
665,Maruti Swift Dzire,2014,390000,110000,Diesel,Individual,Manual,Second Owner
666,Hyundai i20 1.2,2017,400000,50000,Petrol,Individual,Manual,First Owner
667,Tata Tigor 1.2,2018,509999,5000,Petrol,Individual,Manual,First Owner
668,Hyundai i10 Magna,2008,150000,90000,Petrol,Individual,Manual,Third Owner
669,Hyundai Santro Xing,2009,110000,120000,Petrol,Individual,Manual,First Owner
670,Nissan Sunny Diesel,2013,450000,80000,Diesel,Individual,Manual,First Owner
671,Hyundai i20 1.2,2017,400000,38000,Petrol,Individual,Manual,Second Owner
672,Hyundai Santro Xing,2009,140000,120000,Petrol,Individual,Manual,First Owner
673,Tata Indigo CR4,2011,130000,90000,Diesel,Individual,Manual,First Owner
674,Maruti Alto 800,2017,160000,50000,Petrol,Individual,Manual,First Owner
675,Maruti Alto 800,2016,150000,60000,Petrol,Individual,Manual,First Owner
676,Mahindra XUV500 W8,2013,500000,100000,Diesel,Individual,Manual,Second Owner
677,Tata Nano Std,2011,40000,19000,Petrol,Individual,Manual,First Owner
678,Mahindra Verito 1.5,2015,227000,70000,Diesel,Individual,Manual,Second Owner
679,Maruti Swift VDI,2011,285000,50000,Diesel,Individual,Manual,Second Owner
680,Maruti Alto LX,2012,155000,19077,Petrol,Individual,Manual,Second Owner
681,Hyundai EON D,2016,210000,30000,Petrol,Individual,Manual,First Owner
682,Maruti Alto LXi,2009,140000,80000,Petrol,Individual,Manual,Second Owner
683,Toyota Innova 2.5,2015,940000,128000,Diesel,Individual,Manual,First Owner
684,Nissan Terrano XV,2013,750000,80000,Diesel,Individual,Manual,First Owner
685,Maruti Baleno Alpha,2016,610000,100000,Diesel,Individual,Manual,First Owner
686,Nissan Sunny XV,2015,450000,50000,Diesel,Individual,Manual,First Owner
687,Toyota Etios Liva,2012,409999,56000,Diesel,Individual,Manual,First Owner
688,Hyundai EON 1.0,2018,100000,21302,Petrol,Individual,Manual,First Owner
689,Renault KWID 1.0,2018,300000,10500,Petrol,Individual,Manual,First Owner
690,Mahindra Bolero 2011-2019,2013,400000,107000,Diesel,Individual,Manual,First Owner
691,Hyundai i10 Sportz,2010,210000,60000,Petrol,Individual,Manual,Second Owner
692,Hyundai Santro Xing,2006,90000,120000,Petrol,Individual,Manual,Second Owner
693,Maruti Wagon R,2010,222000,70000,Petrol,Individual,Manual,First Owner
694,Maruti Alto 800,2015,240000,50000,Petrol,Individual,Manual,Second Owner
695,Toyota Etios Liva,2013,450000,70000,Diesel,Individual,Manual,Second Owner
696,Volkswagen Jetta 2.0L,2012,735000,55300,Diesel,Dealer,Automatic,First Owner
697,Tata Indica Vista,2012,285000,74300,Diesel,Dealer,Manual,First Owner
698,Honda City VX,2010,350000,48781,Petrol,Dealer,Manual,First Owner
699,Volkswagen Jetta 1.9,2010,290000,87620,Diesel,Dealer,Automatic,First Owner
700,Volkswagen Vento 1.5,2017,890000,40219,Diesel,Dealer,Automatic,First Owner
701,Honda Jazz VX,2011,385000,11473,Petrol,Dealer,Manual,First Owner
702,Maruti Eeco 5,2017,425000,8352,Petrol,Dealer,Manual,First Owner
703,Maruti Wagon R,2017,525000,9745,Petrol,Dealer,Automatic,First Owner
704,Hyundai Grand i10,2017,550000,9748,Petrol,Dealer,Manual,First Owner
705,Volkswagen Polo 1.0,2012,271000,49000,Petrol,Dealer,Manual,First Owner
706,Hyundai Grand i10,2015,490000,31080,Petrol,Dealer,Manual,First Owner
707,Hyundai EON Era,2014,260000,37605,Petrol,Dealer,Manual,First Owner
708,Hyundai Xcent 1.1,2014,455000,55850,Diesel,Dealer,Manual,First Owner
709,Tata Nano Lx,2010,75000,58850,Petrol,Dealer,Manual,First Owner
710,Toyota Etios Cross,2015,421000,23839,Petrol,Dealer,Manual,First Owner
711,Maruti Swift DDiS,2016,550000,54000,Diesel,Dealer,Manual,First Owner
712,Hyundai i10 Sportz,2013,330000,38000,Petrol,Dealer,Automatic,First Owner
713,Volkswagen Vento 1.5,2012,390000,45454,Diesel,Dealer,Manual,First Owner
714,Skoda Rapid 1.5,2015,599000,46957,Diesel,Dealer,Automatic,First Owner
715,Hyundai Getz GLE,2007,110000,60000,Petrol,Individual,Manual,Fourth & Above Owner
716,Renault KWID RXT,2016,250000,25000,Petrol,Individual,Manual,First Owner
717,Mahindra Scorpio M2DI,2012,600000,110000,Diesel,Individual,Manual,Fourth & Above Owner
718,Mahindra Renault Logan,2008,80000,90000,Petrol,Individual,Manual,First Owner
719,Maruti Alto K10,2019,350000,5000,Petrol,Individual,Manual,First Owner
720,Maruti Swift VDI,2015,475000,60000,Diesel,Individual,Manual,First Owner
721,Maruti Swift Dzire,2018,500000,50000,Diesel,Individual,Manual,First Owner
722,Chevrolet Sail Hatchback,2014,250000,120000,Diesel,Individual,Manual,First Owner
723,Hyundai Accent CRDi,2005,100000,120000,Diesel,Individual,Manual,Second Owner
724,Maruti Alto K10,2019,350000,5000,Petrol,Individual,Manual,First Owner
725,Hyundai Santro Xing,2005,95000,120000,Petrol,Individual,Manual,Second Owner
726,Hyundai Grand i10,2015,409999,58000,Diesel,Individual,Manual,First Owner
727,Maruti Alto K10,2017,320000,30000,Petrol,Individual,Manual,First Owner
728,Mahindra Thar CRDe,2018,950000,20000,Diesel,Individual,Manual,First Owner
729,Maruti Swift Dzire,2018,750000,50000,Diesel,Individual,Manual,First Owner
730,Hyundai EON Magna,2014,220000,42000,Petrol,Individual,Manual,First Owner
731,Honda Mobilio E,2017,660000,116000,Diesel,Individual,Manual,First Owner
732,Maruti Ertiga ZDI,2015,716000,100000,Diesel,Individual,Manual,First Owner
733,Maruti Ciaz ZXi,2015,675000,66000,Petrol,Individual,Manual,First Owner
734,Mahindra Scorpio LX,2010,385000,110000,Diesel,Individual,Manual,Third Owner
735,Fiat Grande Punto,2014,325000,70000,Diesel,Individual,Manual,First Owner
736,Hyundai Creta 1.6,2015,950000,60000,Diesel,Individual,Manual,First Owner
737,Ford Endeavour Hurricane,2007,400000,110000,Diesel,Individual,Automatic,Fourth & Above Owner
738,Tata Indica Vista,2014,250000,25000,Diesel,Individual,Manual,First Owner
739,Maruti Alto 800,2014,210000,20000,Petrol,Individual,Manual,First Owner
740,Hyundai i10 Era,2011,147000,110000,Petrol,Individual,Manual,Second Owner
741,Maruti Vitara Brezza,2018,725000,26350,Diesel,Individual,Manual,First Owner
742,Mahindra Scorpio SLE,2012,550000,90000,Diesel,Individual,Manual,First Owner
743,Hyundai i20 Sportz,2016,475000,25000,Petrol,Individual,Manual,First Owner
744,Hyundai Santro Xing,2014,250000,50000,Petrol,Individual,Manual,Second Owner
745,Tata Indica LSI,2006,70000,60000,Petrol,Individual,Manual,Second Owner
746,Hyundai EON Era,2012,160000,70000,Petrol,Individual,Manual,Third Owner
747,Hyundai Grand i10,2017,500000,26500,Petrol,Individual,Manual,First Owner
748,Hyundai Verna CRDi,2017,900000,50000,Diesel,Individual,Manual,First Owner
749,Maruti Alto LX,2007,100000,52000,Petrol,Individual,Manual,Second Owner
750,Hyundai i20 Asta,2013,300000,90000,Diesel,Individual,Manual,First Owner
751,Tata Indigo LX,2011,140000,60000,Diesel,Individual,Manual,Second Owner
752,Ford Figo Aspire,2018,550000,35000,Petrol,Individual,Manual,First Owner
753,Mahindra XUV500 W8,2012,650000,71042,Diesel,Dealer,Manual,First Owner
754,Ford Fiesta 1.5,2011,195000,133564,Diesel,Dealer,Manual,First Owner
755,Chevrolet Beat Diesel,2011,95000,70000,Diesel,Individual,Manual,First Owner
756,Maruti Baleno Delta,2017,585000,43608,Petrol,Trustmark Dealer,Manual,First Owner
757,Maruti Baleno Alpha,2018,825000,11212,Petrol,Trustmark Dealer,Automatic,First Owner
758,Hyundai i20 1.4,2013,280000,52000,Diesel,Dealer,Manual,First Owner
759,Maruti Baleno Zeta,2016,725000,49217,Petrol,Trustmark Dealer,Manual,First Owner
760,Mahindra Verito 1.5,2015,300000,90000,Diesel,Individual,Manual,First Owner
761,Hyundai Xcent 1.2,2015,375000,70000,Petrol,Individual,Manual,First Owner
762,Tata Xenon XT,2012,400000,80000,Diesel,Individual,Manual,Second Owner
763,Nissan Terrano XL,2014,550000,80000,Diesel,Individual,Manual,Second Owner
764,Maruti Eeco 7,2018,270000,20000,Petrol,Individual,Manual,First Owner
765,Maruti Ertiga ZDI,2012,555000,110000,Diesel,Individual,Manual,Second Owner
766,Ford Ecosport 1.5,2013,500000,60000,Diesel,Individual,Manual,Second Owner
767,Skoda Laura Elegance,2010,400000,130000,Diesel,Individual,Automatic,Second Owner
768,Hyundai EON 1.0,2017,280000,28838,Petrol,Individual,Manual,First Owner
769,Tata Indica DLS,2006,55000,100000,Diesel,Individual,Manual,First Owner
770,Maruti Alto 800,2014,250000,50000,Petrol,Individual,Manual,First Owner
771,Mahindra Jeep MM,2007,95000,100000,Diesel,Individual,Manual,Second Owner
772,Mahindra Scorpio 1.99,2014,725000,135000,Diesel,Individual,Manual,Second Owner
773,Mahindra Bolero Power,2015,320000,50000,Diesel,Individual,Manual,Third Owner
774,Chevrolet Beat Diesel,2012,160000,50000,Diesel,Individual,Manual,First Owner
775,Honda Jazz 1.5,2018,790000,19571,Diesel,Dealer,Manual,First Owner
776,Maruti Swift LXI,2011,175000,70000,Petrol,Individual,Manual,First Owner
777,Maruti Vitara Brezza,2018,950000,15000,Diesel,Individual,Automatic,First Owner
778,Maruti Celerio LXI,2019,340000,50000,Petrol,Individual,Manual,First Owner
779,Renault Captur 1.5,2017,825000,13500,Diesel,Individual,Manual,First Owner
780,Honda Amaze VX,2018,780000,25000,Diesel,Dealer,Manual,First Owner
781,Toyota Corolla Altis,2010,350000,80000,Petrol,Individual,Automatic,Third Owner
782,Honda Amaze VX,2018,690000,39000,Petrol,Dealer,Manual,First Owner
783,Maruti Alto 800,2016,245000,60000,Petrol,Individual,Manual,First Owner
784,Honda Amaze VX,2018,790000,49000,Diesel,Dealer,Manual,First Owner
785,Honda Amaze VX,2018,680000,48600,Petrol,Dealer,Manual,First Owner
786,Hyundai Grand i10,2017,540000,20000,Petrol,Individual,Manual,Second Owner
787,Mahindra KUV 100,2016,425000,25000,Petrol,Individual,Manual,First Owner
788,Maruti Zen Estilo,2008,140000,120000,Petrol,Individual,Manual,First Owner
789,Renault Lodgy 85PS,2015,715000,35000,Diesel,Individual,Manual,First Owner
790,Tata Zest Revotron,2018,400000,54000,Petrol,Dealer,Manual,Second Owner
791,Hyundai Santro Xing,2005,114999,90000,Petrol,Dealer,Manual,Second Owner
792,Ford EcoSport 1.5,2018,950000,21394,Diesel,Dealer,Manual,First Owner
793,Datsun GO T,2015,310000,32686,Petrol,Dealer,Manual,First Owner
794,Mahindra Jeep CJ,2006,575000,1001,Diesel,Dealer,Manual,First Owner
795,Renault Pulse RxZ,2017,490000,22000,Diesel,Dealer,Manual,First Owner
796,Hyundai Grand i10,2017,480000,53261,Petrol,Dealer,Manual,First Owner
797,Renault KWID 1.0,2018,370000,10000,Petrol,Dealer,Manual,First Owner
798,Maruti Baleno Alpha,2017,835000,14000,Diesel,Dealer,Manual,First Owner
799,Volkswagen Polo 2015-2019,2017,650000,44000,Petrol,Dealer,Manual,First Owner
800,Toyota Etios VD,2014,670000,39895,Diesel,Dealer,Manual,First Owner
801,Chevrolet Cruze LTZ,2017,950000,73000,Diesel,Dealer,Automatic,First Owner
802,Honda City i-VTEC,2014,690000,17000,Petrol,Dealer,Manual,First Owner
803,Volkswagen Polo 2015-2019,2017,670000,18591,Petrol,Dealer,Manual,First Owner
804,Tata Nexon 1.5,2017,925000,26766,Diesel,Dealer,Manual,First Owner
805,Hyundai EON Magna,2015,250000,30000,Petrol,Individual,Manual,First Owner
806,Tata Sumo Gold,2016,509999,42000,Diesel,Individual,Manual,First Owner
807,Honda City i,2014,520000,110000,Diesel,Individual,Manual,First Owner
808,Tata Indica DLE,2005,100000,100000,Diesel,Individual,Manual,First Owner
809,Tata Indigo LX,2009,130000,110000,Diesel,Individual,Manual,Third Owner
810,Ford EcoSport 1.5,2018,950000,27620,Diesel,Dealer,Manual,First Owner
811,Ford Figo Aspire,2015,450000,70000,Petrol,Individual,Manual,First Owner
812,Honda City S,2012,320000,50000,Petrol,Individual,Manual,Second Owner
813,Maruti Swift Dzire,2015,480000,50000,Diesel,Individual,Manual,First Owner
814,Toyota Innova 2.5,2012,790000,82000,Diesel,Individual,Manual,First Owner
815,Maruti Omni MPI,2016,120000,120000,Petrol,Individual,Manual,First Owner
816,Maruti Alto LXi,2006,75000,80000,Petrol,Individual,Manual,Third Owner
817,Tata Indica GLS,2010,99000,70000,Petrol,Individual,Manual,First Owner
818,Toyota Innova Crysta,2011,520000,120000,Diesel,Individual,Manual,First Owner
819,Maruti Swift Dzire,2016,525000,60000,Diesel,Individual,Manual,First Owner
820,Hyundai i20 Asta,2016,500000,40000,Petrol,Individual,Manual,First Owner
821,Mahindra Scorpio S2,2016,675000,161327,Diesel,Individual,Manual,First Owner
822,Hyundai i10 Magna,2009,150000,60000,Petrol,Individual,Manual,Third Owner
823,Mahindra Bolero DI,2007,250000,50000,Diesel,Individual,Manual,First Owner
824,Hyundai Grand i10,2018,450000,6000,Petrol,Individual,Manual,First Owner
825,Hyundai Santro Xing,2009,150000,68000,Petrol,Individual,Manual,Second Owner
826,Chevrolet Beat Diesel,2012,200000,85000,Diesel,Individual,Manual,First Owner
827,Mahindra Scorpio VLS,2011,525000,70000,Diesel,Individual,Automatic,First Owner
828,Maruti Swift Vdi,2010,180000,100000,Diesel,Individual,Manual,Second Owner
829,Honda Amaze S,2015,475000,110000,Diesel,Individual,Manual,First Owner
830,Maruti Alto 800,2015,285000,46000,Petrol,Individual,Manual,Second Owner
831,Maruti Alto LXi,2008,91200,60000,Petrol,Individual,Manual,Second Owner
832,Hyundai Grand i10,2015,400000,42000,Diesel,Individual,Manual,First Owner
833,Hyundai Santro Xing,2006,160000,90000,Petrol,Individual,Automatic,Second Owner
834,Skoda Yeti Ambition,2012,650000,85000,Diesel,Individual,Manual,Second Owner
835,Hyundai Verna 1.6,2012,409999,120000,Diesel,Individual,Manual,Third Owner
836,Ford Ecosport 1.5,2013,425000,72000,Diesel,Individual,Manual,First Owner
837,Maruti Wagon R,2013,250000,71000,CNG,Individual,Manual,Second Owner
838,Maruti Swift Dzire,2009,200000,110000,Petrol,Individual,Manual,Fourth & Above Owner
839,Volkswagen Polo Diesel,2010,130000,144000,Diesel,Individual,Manual,Fourth & Above Owner
840,Maruti Eeco 5,2017,260000,30000,Petrol,Dealer,Manual,First Owner
841,Hyundai Verna SX,2007,155000,65000,Petrol,Dealer,Manual,First Owner
842,Honda Jazz 1.5,2015,450000,38000,Diesel,Individual,Manual,First Owner
843,Maruti SX4 Celebration,2012,220000,90000,Petrol,Individual,Manual,Second Owner
844,Hyundai i20 Active,2018,650000,37000,Diesel,Dealer,Manual,First Owner
845,Maruti Alto 800,2018,285000,30000,Petrol,Dealer,Manual,First Owner
846,Honda Amaze V,2018,725000,26000,Petrol,Dealer,Automatic,First Owner
847,Maruti Ciaz ZXi,2016,625000,30000,Petrol,Dealer,Manual,First Owner
848,Hyundai i20 Active,2016,550000,23000,Petrol,Dealer,Manual,First Owner
849,Hyundai i10 Magna,2012,240000,40000,Petrol,Dealer,Manual,First Owner
850,Nissan Terrano XL,2014,600000,27000,Diesel,Dealer,Manual,First Owner
851,Tata New Safari,2012,350000,65000,Diesel,Dealer,Manual,First Owner
852,Hyundai EON Magna,2015,245000,32000,Petrol,Dealer,Manual,First Owner
853,Mahindra Bolero B6,2016,600000,56000,Diesel,Dealer,Manual,First Owner
854,Mahindra Scorpio SLE,2014,620000,80000,Diesel,Dealer,Manual,First Owner
855,Maruti Swift Dzire,2014,395000,52000,Petrol,Dealer,Manual,Second Owner
856,Maruti Ertiga ZXI,2014,635000,13250,Petrol,Dealer,Manual,First Owner
857,Maruti Alto LX,2011,180000,36000,Petrol,Dealer,Manual,First Owner
858,Maruti Swift ZDI,2015,484999,73000,Diesel,Dealer,Manual,Second Owner
859,Maruti Wagon R,2006,150000,60000,Petrol,Individual,Manual,Second Owner
860,Chevrolet Tavera Neo,2012,400000,110000,Diesel,Individual,Manual,First Owner
861,Tata Indica Vista,2012,200000,70000,Diesel,Individual,Manual,Second Owner
862,Renault Duster 85PS,2013,302000,60000,Diesel,Individual,Manual,Second Owner
863,Maruti Swift Dzire,2011,215000,90000,Diesel,Individual,Manual,Fourth & Above Owner
864,Mahindra Bolero Power,2018,550000,44000,Diesel,Individual,Manual,First Owner
865,Maruti Swift 1.3,2006,200000,45000,Petrol,Individual,Manual,First Owner
866,Mahindra Scorpio S2,2017,750000,120000,Diesel,Individual,Manual,First Owner
867,Maruti Zen LXI,2005,90000,90000,Petrol,Individual,Manual,Second Owner
868,Maruti Wagon R,2007,80000,120000,Petrol,Individual,Manual,Second Owner
869,Hyundai EON D,2013,229999,13500,Petrol,Individual,Manual,First Owner
870,Renault KWID 1.0,2017,350000,10000,Petrol,Individual,Manual,First Owner
871,Hyundai Grand i10,2015,325000,25000,Petrol,Individual,Manual,Third Owner
872,Tata Tigor 1.2,2018,450000,8500,Petrol,Individual,Manual,First Owner
873,Maruti SX4 Celebration,2012,250000,120000,Diesel,Individual,Manual,First Owner
874,Volkswagen Polo Diesel,2012,225000,120000,Diesel,Individual,Manual,First Owner
875,Maruti Alto LXi,2009,150000,90246,Petrol,Individual,Manual,Third Owner
876,Maruti Alto LX,2008,110000,90000,Petrol,Individual,Manual,Second Owner
877,Maruti Alto LXi,2010,150000,40000,Petrol,Individual,Manual,Second Owner
878,Renault Duster 85PS,2017,610000,32000,Diesel,Individual,Manual,Second Owner
879,Tata Manza Club,2013,170000,60400,Diesel,Individual,Manual,First Owner
880,Hyundai Verna CRDi,2008,150000,70950,Diesel,Individual,Manual,Second Owner
881,Hyundai Xcent 1.1,2015,375000,72000,Diesel,Individual,Manual,First Owner
882,Maruti Swift VDI,2013,390000,90000,Diesel,Individual,Manual,First Owner
883,Hyundai i20 Active,2017,600000,10000,Petrol,Individual,Manual,First Owner
884,Maruti Alto 800,2014,204999,25000,Petrol,Individual,Manual,Second Owner
885,Hyundai Verna CRDi,2009,270000,80000,Diesel,Individual,Manual,Second Owner
886,Hyundai Grand i10,2017,375000,10000,Petrol,Individual,Manual,First Owner
887,Maruti Baleno Zeta,2020,700000,1100,Petrol,Individual,Manual,First Owner
888,Maruti Swift VXI,2017,455000,40000,Petrol,Individual,Manual,First Owner
889,Hyundai i10 Sportz,2017,375000,10000,Petrol,Individual,Manual,First Owner
890,Hyundai Grand i10,2014,341000,31491,Petrol,Individual,Manual,First Owner
891,Maruti Swift Dzire,2014,200000,107143,Diesel,Individual,Manual,Second Owner
892,Maruti Ignis 1.2,2017,450000,15000,Petrol,Individual,Automatic,First Owner
893,Hyundai Santro Xing,2012,170000,50000,Petrol,Individual,Manual,Second Owner
894,Mahindra Bolero Power,2016,500000,60000,Diesel,Individual,Manual,First Owner
895,Maruti Vitara Brezza,2016,819999,85000,Diesel,Individual,Manual,First Owner
896,Maruti Swift 1.2,2014,351000,40000,Petrol,Individual,Manual,Second Owner
897,Hyundai i10 Magna,2011,195000,80000,Petrol,Individual,Manual,Second Owner
898,Maruti Swift Dzire,2008,250000,82000,Diesel,Individual,Manual,Second Owner
899,Maruti Zen Estilo,2008,120000,70000,Petrol,Individual,Manual,Second Owner
900,Maruti A-Star Vxi,2009,180000,70000,Petrol,Individual,Manual,Third Owner
901,Mahindra KUV 100,2016,430000,20000,Diesel,Individual,Manual,First Owner
902,Tata Nano Cx,2012,75000,35000,Petrol,Individual,Manual,Second Owner
903,Mahindra Xylo D4,2017,750000,80000,Diesel,Individual,Manual,First Owner
904,Tata Nano Lx,2011,60000,40000,Petrol,Individual,Manual,First Owner
905,Mahindra Bolero SLX,2011,390000,150000,Diesel,Individual,Manual,Fourth & Above Owner
906,Mahindra TUV 300,2016,630000,50000,Diesel,Individual,Manual,First Owner
907,Hyundai i10 Magna,2012,190000,60000,Petrol,Individual,Manual,Second Owner
908,Maruti Baleno Delta,2018,550000,25000,Petrol,Individual,Automatic,First Owner
909,Maruti Alto 800,2012,200000,90000,Petrol,Individual,Manual,Third Owner
910,Chevrolet Spark 1.0,2011,165000,60000,Petrol,Individual,Manual,First Owner
911,Ford Figo Diesel,2013,260000,65000,Diesel,Individual,Manual,First Owner
912,Maruti Alto LX,2011,151000,40000,Petrol,Individual,Manual,First Owner
913,Maruti Vitara Brezza,2018,780000,50000,Diesel,Individual,Manual,First Owner
914,Tata Indica Vista,2012,175000,80000,Diesel,Individual,Manual,Third Owner
915,Tata Indica Vista,2010,170000,107500,Diesel,Dealer,Manual,First Owner
916,Tata Indica Vista,2013,210000,135000,Diesel,Dealer,Manual,Second Owner
917,Maruti Alto LXi,2007,90000,43826,Petrol,Dealer,Manual,Second Owner
918,Hyundai i20 Active,2016,535000,55838,Petrol,Dealer,Manual,First Owner
919,Maruti Swift VDI,2007,195000,112880,Diesel,Dealer,Manual,First Owner
920,Tata Indica Vista,2011,140000,90000,Diesel,Individual,Manual,Third Owner
921,Nissan Sunny XL,2012,350000,40000,Petrol,Individual,Manual,First Owner
922,Hyundai Verna 1.6,2013,425000,66000,Petrol,Individual,Manual,First Owner
923,Renault KWID 1.0,2017,300000,30300,Petrol,Individual,Manual,First Owner
924,Volkswagen Vento Diesel,2013,340000,85000,Diesel,Individual,Manual,Second Owner
925,Maruti Swift Dzire,2009,250000,80659,Petrol,Dealer,Manual,First Owner
926,Chevrolet Aveo 1.4,2008,170000,81324,Petrol,Dealer,Manual,First Owner
927,Honda Amaze S,2013,315000,127884,Diesel,Dealer,Manual,First Owner
928,Chevrolet Beat PS,2015,200000,50000,Petrol,Individual,Manual,First Owner
929,Chevrolet Beat PS,2016,300000,25000,Petrol,Individual,Manual,First Owner
930,Honda Amaze S,2015,300000,66755,Diesel,Dealer,Manual,First Owner
931,Honda City E,2013,380000,123084,Petrol,Dealer,Manual,First Owner
932,Honda Amaze S,2013,310000,95851,Diesel,Dealer,Manual,First Owner
933,Maruti Wagon R,2010,260000,50000,Petrol,Individual,Manual,First Owner
934,Maruti Omni BSIII,2008,150000,50000,Petrol,Individual,Manual,Second Owner
935,Maruti Esteem Vxi,2006,85000,60000,Petrol,Individual,Manual,Second Owner
936,Maruti Alto 800,2015,280000,15000,Petrol,Individual,Manual,Second Owner
937,Mahindra Xylo H4,2016,850000,40000,Diesel,Individual,Manual,First Owner
938,Datsun GO Plus,2017,375000,20000,Petrol,Individual,Manual,Second Owner
939,Hyundai Elantra CRDi,2006,125000,120000,Diesel,Individual,Manual,Third Owner
940,Chevrolet Beat Diesel,2012,250000,110000,Diesel,Individual,Manual,First Owner
941,Hyundai i20 1.4,2011,220000,70000,Diesel,Individual,Manual,First Owner
942,Tata Indica Vista,2010,110000,110000,Diesel,Individual,Manual,Second Owner
